"Código produto";"EAN";"Código loja";"Código pedido";"Nome produto";"Preço venda";"Quantidade";"Referência";"Preço custo";"Informação adicional"
"803";"";"987162";"55015";"Macacão Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1111";"";"987162";"55017";"Macacão  Empina Bumbum Wave Rosê (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1341";"";"987162";"55017";"Macacão Empina Bumbum Wave Azul Turquesa (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1487";"";"987162";"55017";"Macacão  Empina Bumbum Wave Azul Céu (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"803";"";"987162";"55017";"Macacão Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1035";"";"987162";"55019";"Conjunto Empina Bumbum Wave Azul Royal Alcinha (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"839";"";"987162";"55021";"Short Empina Bumbum Wave Branco (Disponibilidade: Imediata)<br />";"89,99";"1";"";"0,00";""
"803";"";"987162";"55027";"Macacão Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1041";"";"987162";"55029";"Conjunto Empina Bumbum Wave Off White Alcinha (Imediata)";"209,99";"1";"";"0,00";""
"1067";"";"987162";"55029";"Macacão Empina Bumbum Wave Off White (Imediata)";"189,99";"1";"";"0,00";""
"583";"";"987162";"55029";"Conjunto Empina Bumbum Wave Branco Alcinha (Imediata)";"209,99";"1";"";"0,00";""
"645";"";"987162";"55029";"Macaquinho Empina Bumbum Wave Branco (Imediata)";"169,99";"1";"";"0,00";""
"1323";"";"987162";"55031";"Macacão  Empina Bumbum Wave Azul Royal (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1001";"";"987162";"55033";"Legging Empina Bumbum Wave Off White (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1031";"";"987162";"55033";"Legging Empina Bumbum Wave Avelã (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"281";"";"987162";"55033";"Legging Empina Bumbum Wave Preta (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"429";"";"987162";"55033";"Legging Empina Bumbum Wave Verde Militar (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"607";"";"987162";"55033";"Legging Empina Bumbum Wave Azul Royal (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"741";"";"987162";"55033";"Legging Empina Bumbum Wave Chumbo (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"281";"";"987162";"55039";"Legging Empina Bumbum Wave Preta (Imediata)";"159,99";"1";"";"0,00";""
"283";"";"987162";"55039";"Legging Empina Bumbum Wave Vermelha (Imediata)";"159,99";"1";"";"0,00";""
"511";"";"987162";"55039";"Legging Empina Bumbum Wave Azul Marinho (Imediata)";"159,99";"1";"";"0,00";""
"515";"";"987162";"55039";"Legging Empina Bumbum Wave Cereja (Imediata)";"159,99";"1";"";"0,00";""
"1433";"";"987162";"55043";"Conjunto Empina Bumbum Wave Chiclete Alcinha (Disponibilidade: Imediata)<br />";"181,99";"1";"";"0,00";""
"1083";"";"987162";"55047";"Macacão  Empina Bumbum Wave Avelã (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1341";"";"987162";"55047";"Macacão Empina Bumbum Wave Azul Turquesa (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1429";"";"987162";"55047";"Macacão Empina Bumbum Wave Açaí (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"591";"";"987162";"55047";"Macacão  Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"541";"";"987162";"55049";"Conjunto Empina Bumbum Wave Preto Alcinha (Disponibilidade: Imediata)<br />";"209,99";"1";"";"0,00";""
"661";"";"987162";"55051";"Conjunto Empina Bumbum Wave Cereja Alcinha (Disponibilidade: Imediata)<br />";"209,99";"1";"";"0,00";""
"1067";"";"987162";"55053";"Macacão Empina Bumbum Wave Off White (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"1487";"";"987162";"55053";"Macacão  Empina Bumbum Wave Azul Céu (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1057";"";"987162";"55055";"Macacão  Empina Bumbum Wave Nude (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1341";"";"987162";"55055";"Macacão Empina Bumbum Wave Azul Turquesa (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1127";"";"987162";"55057";"Conjunto Short Empina Bumbum Wave Off White (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"1153";"";"987162";"55057";"Conjunto Short Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"1329";"";"987162";"55057";"Conjunto Short Empina Bumbum Wave Avelã Alcinha (Disponibilidade: Imediata)<br />";"169,99";"1";"";"0,00";""
"1475";"";"987162";"55057";"Conjunto Short Empina Bumbum Wave Azul Céu (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"1493";"";"987162";"55057";"Conjunto Short Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"1111";"";"987162";"55059";"Macacão  Empina Bumbum Wave Rosê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1461";"";"987162";"55059";"Macacão Empina Bumbum Wave Laranja (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1065";"";"987162";"55061";"Macacão Empina Bumbum Wave  Vermelho (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
